Time (s),MPC Tt,MPC wt,MPC Ts,Reference Tt,Reference wt
1120.0,24.592237085455004,0.00899989155665326,12.003992760759939,24.5,0.0095
1120.5,24.597748955503068,0.008999862630553695,12.005983277928252,24.5,0.0095
1121.0,24.60218860160277,0.00899991845682125,12.005802314045408,24.5,0.0095
1121.5,24.599703817666924,0.008999906846562593,12.00438035870632,24.5,0.0095
1122.0,24.601415730055876,0.00899989711404181,12.005402926250685,24.5,0.0095
1122.5,24.605635137034003,0.008999879678783327,12.00609161198037,24.5,0.0095
1123.0,24.605891721021763,0.008999861275508175,12.005354989850924,24.5,0.0095
1123.5,24.602020902169794,0.008999903296165042,12.004453818139604,24.5,0.0095
1124.0,24.596323467198413,0.00899991644854736,12.003917226758814,24.5,0.0095
1124.5,24.593771081055134,0.008999917712723338,12.004430273078265,24.5,0.0095
1125.0,24.598654407792854,0.008999876193059605,12.005952548275463,24.5,0.0095
1125.5,24.598756047984565,0.00899988647246135,12.00488636683055,24.5,0.0095
1126.0,24.59578258321354,0.008999890711864663,12.00418942405378,24.5,0.0095
1126.5,24.59329156176269,0.008999895790846982,12.004204155505365,24.5,0.0095
1127.0,24.595036313768677,0.00899990649095115,12.005042500523233,24.5,0.0095
1127.5,24.59523437300918,0.008999873306575677,12.004675507012447,24.5,0.0095
1128.0,24.595154391487473,0.008999895921220165,12.004605904221421,24.5,0.0095
1128.5,24.599963815483356,0.008999908522763073,12.005731058818757,24.5,0.0095
1129.0,24.596944854153282,0.00899990318945467,12.004099075932535,24.5,0.0095
1129.5,24.599564667669735,0.008999888838500633,12.005405714204608,24.5,0.0095
1130.0,24.603952227867175,0.008999916237216325,12.005924818781276,24.5,0.0095
1130.5,24.608114339304095,0.008999881834394879,12.006118036286301,24.5,0.0095
1131.0,24.606099496830133,0.00899988153620724,12.004908389661395,24.5,0.0095
1131.5,24.602690400420606,0.008999895676451208,12.004641223087567,24.5,0.0095
1132.0,24.59825353398569,0.008999871410636651,12.004299645909217,24.5,0.0095
1132.5,24.60196604166459,0.008999866299413892,12.006075529509003,24.5,0.0095
1133.0,24.602305188998248,0.008999898841299488,12.005274216590351,24.5,0.0095
1133.5,24.606519302302107,0.008999892305767298,12.006240304242628,24.5,0.0095
