Time (s),LQR fa_dot,LQR fw_dot,LQR u3
1412.0,2.599982648794858,0.003,-5e-05
1412.5,2.5999673611173506,0.0,5e-05
1413.0,2.599963778278426,0.003,-5e-05
1413.5,2.5999281770167593,0.0,5e-05
1414.0,2.5999245273796947,0.0,5e-05
1414.5,2.6000223998857264,0.003,-5e-05
1415.0,2.59999607232895,0.0,-5e-05
1415.5,2.5999970158409904,0.003,-5e-05
1416.0,2.5999565689613804,0.0,5e-05
1416.5,2.5999601230892786,0.003,5e-05
1417.0,2.599918431786098,0.0,5e-05
1417.5,2.599895173785547,0.0,5e-05
1418.0,2.5999864747608465,0.003,-5e-05
1418.5,2.5999766750325355,0.0,-5e-05
1419.0,2.5999775572604316,0.003,-5e-05
1419.5,2.5999341783006935,0.0,5e-05
1420.0,2.599923969789522,0.0,5e-05
1420.5,2.6000053440248188,0.003,-5e-05
1421.0,2.5999873925798913,0.0,-5e-05
1421.5,2.5999907593986267,0.003,-5e-05
1422.0,2.5999399600924398,0.0,5e-05
1422.5,2.5999284850824167,0.0005195850173474895,5e-05
1423.0,2.5999934439105252,0.003,-5e-05
1423.5,2.5999597750930086,0.0,5e-05
1424.0,2.5999425560238985,0.003,5e-05
1424.5,2.599900758901602,0.0,5e-05
1425.0,2.599887596934091,0.0,5e-05
1425.5,2.599975807054997,0.003,-5e-05
1426.0,2.5999528249665422,0.0,5e-05
1426.5,2.599952777049206,0.003,5e-05
1427.0,2.599908834112746,0.0,5e-05
1427.5,2.599891100070605,0.0,5e-05
1428.0,2.5999827788260053,0.003,-5e-05
1428.5,2.5999745504138714,0.0,-5e-05
1429.0,2.599971261072637,0.003,-5e-05
1429.5,2.599936139865552,0.0,5e-05
1430.0,2.599923997183991,0.0,5e-05
1430.5,2.6000160109560335,0.003,-5e-05
1431.0,2.600005070122122,0.0,-5e-05
1431.5,2.6000025301245544,0.003,-5e-05
1432.0,2.5999652230126022,0.0,5e-05
1432.5,2.599954683871538,0.003,5e-05
1433.0,2.599899992340067,0.0,5e-05
1433.5,2.599895394407913,0.0,5e-05
1434.0,2.5999834575801293,0.003,-5e-05
1434.5,2.599972365038574,0.0,-5e-05
1435.0,2.599981798177115,0.003,-5e-05
1435.5,2.599936679348243,0.0,5e-05
1436.0,2.5999367339034887,0.0014587885537761128,5e-05
1436.5,2.599962404325929,0.0,-4.466202312264356e-05
1437.0,2.6000115494181397,0.003,-5e-05
1437.5,2.599986895670888,0.0,-5e-05
1438.0,2.5999861002467495,0.003,-5e-05
1438.5,2.5999377502459464,0.0,5e-05
1439.0,2.599924812794666,0.0,5e-05
1439.5,2.6000134972786504,0.003,-5e-05
1440.0,2.599998732807665,0.0,-5e-05
1440.5,2.5999919540301275,0.003,-5e-05
1441.0,2.599943701487766,0.0,5e-05
1441.5,2.5999268688271533,0.0004066603601912014,5e-05
1442.0,2.599987343170066,0.003,-5e-05
1442.5,2.5999600692519396,0.0,5e-05
1443.0,2.5999424445670107,0.003,5e-05
1443.5,2.5999083678952473,0.0,5e-05
1444.0,2.599899700649366,0.0,5e-05
1444.5,2.5999767580615485,0.003,-5e-05
1445.0,2.599967527554162,0.0,5e-05
1445.5,2.5999639756450916,0.003,-5e-05
1446.0,2.5999365115734636,0.0,5e-05
1446.5,2.599925515595818,0.0,5e-05
1447.0,2.6000088487740762,0.003,-5e-05
1447.5,2.599993695891392,0.0,-5e-05
1448.0,2.6000011196382116,0.003,-5e-05
1448.5,2.5999574785182027,0.0,5e-05
